height,forkscount
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,1
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,1
48,1
49,0
50,5
51,3
52,1
53,2
54,1
55,3
56,2
57,0
58,3
59,1
60,4
61,0
62,2
63,2
64,0
65,0
66,0
67,2
68,0
69,0
70,1
71,0
72,0
73,2
74,0
75,2
76,1
77,2
78,2
79,0
80,2
81,2
82,3
83,2
84,4
85,1
86,2
87,1
88,0
89,0
90,0
91,1
92,0
93,0
94,0
95,1
96,1
97,1
98,1
99,1
100,2
101,0
102,1
103,1
104,0
105,1
106,1
107,0
108,0
109,0
110,0
111,1
112,1
113,0
114,2
115,0
116,0
117,1
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
