height,forkscount
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,1
66,0
67,1
68,0
69,1
70,0
71,1
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,1
84,0
85,0
86,0
87,1
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,2
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,1
113,1
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,1
130,1
131,1
132,1
133,0
134,0
135,1
136,2
137,0
138,0
139,1
140,1
141,0
142,1
143,5
144,1
145,2
146,2
147,3
148,5
149,3
150,7
151,5
152,4
153,2
154,2
155,0
156,3
157,4
158,2
159,2
160,3
161,6
162,7
163,4
164,2
165,3
166,3
167,3
168,3
169,2
170,4
171,2
172,3
173,4
174,9
175,5
176,4
177,2
178,1
179,1
180,4
181,5
182,2
183,2
184,4
185,6
186,3
187,3
188,5
189,4
190,4
191,5
192,4
193,4
194,4
195,3
196,2
197,2
198,3
199,2
200,5
201,3
202,2
203,2
204,1
205,0
206,0
207,0
208,0
209,0
210,1
211,1
212,1
213,3
214,1
215,3
216,3
217,2
218,2
219,0
220,0
221,1
222,3
223,1
224,2
225,1
226,2
227,2
228,2
229,0
230,2
231,2
232,1
233,2
234,1
235,1
236,1
237,1
238,1
239,0
240,0
241,1
242,0
243,0
244,1
245,2
246,2
247,2
248,2
249,3
250,1
251,2
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,1
261,0
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,0
271,1
272,0
273,1
274,1
275,2
276,2
277,1
278,1
279,1
280,1
281,1
282,1
283,0
284,2
285,2
286,1
287,1
288,4
289,1
290,2
291,2
292,0
293,1
294,1
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,1
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,1
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,1
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,1
404,0
405,0
406,1
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,1
